global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
30,1,-42.25,1.1,-41.70671655206606,-845.0,22.0,-834.1343310413212,0.8991,0.8991,0.7992,0.7992,1773310475.1519363
60,1,-42.25,1.1,-41.70671655206606,-845.0,22.0,-834.1343310413212,0.8991,0.8991,0.7992,0.7992,1773310475.160445
90,3,-119.89312499999998,6.18025,-116.87668244828028,-595.0,23.0,-587.2195817786603,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773310475.180743
120,5,-186.65354531249997,8.292675625,-182.58946677443248,-695.0,22.0,-685.8690676721371,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773310475.200466
