global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275302.9456928
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275302.9898996
60,1,-75.75,4.05,-73.08024932056183,-1515.0,81.0,-1461.6049864112365,0.8991,0.8991,0.7992,0.7992,1773275303.0126133
