global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,1,-64.75,2.45,-63.1083223000214,-1295.0,49.0,-1262.1664460004279,0.8991,0.8991,0.7992,0.7992,1773320235.9542139
200,3,-361.436875,13.881125,-342.2164346580113,-2545.0,89.0,-2432.1336511939576,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773320235.970077
300,5,-432.39677968749993,18.280215312499998,-411.2395340410455,-1535.0,97.0,-1464.7669879990635,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773320235.9853878
400,10,-576.2071964960745,22.9594446422081,-553.9028752601265,-700.0,17.0,-692.3965593881221,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773320236.0015311
500,16,-609.5667434015302,23.94560439786577,-590.1315623934024,-540.0,39.0,-526.4243817561107,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773320236.0160398
600,19,-708.2891616238868,27.914362570620163,-685.3300791922334,-2250.0,96.0,-2149.7720128235787,0.8830530313779591,0.8830530313779591,0.7849360278915193,0.7849360278915193,1773320236.0305333
700,22,-717.4737949472798,29.74382660898546,-695.3036146415654,-415.0,31.0,-407.328057916656,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773320236.0471573
800,25,-762.081594942924,32.61298833887891,-739.1021258527531,-825.0,24.0,-813.3019097822216,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773320236.0663493
900,27,-844.9036394359888,36.95572197583821,-816.6774959691566,-435.0,26.0,-429.050702470073,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773320236.0814562
1000,33,-855.145116052694,34.95173428663075,-829.1573303675043,-670.0,26.0,-660.1386758325752,0.8707703262153905,0.8707703262153905,0.7740180677470138,0.7740180677470138,1773320236.0968919
1100,36,-902.4737938756784,36.52111818400004,-876.0688320215821,-1550.0,52.0,-1504.1251062911047,0.8681606266769526,0.8681606266769526,0.7716983348239579,0.7716983348239579,1773320236.1109781
1200,38,-881.9575989727997,35.825309161060034,-857.1296556628832,-770.0,25.0,-759.4589541433197,0.8664251735842253,0.8664251735842253,0.7701557098526448,0.7701557098526448,1773320236.1264524
1300,41,-937.412771419304,40.33297444196384,-908.6587591808536,-1395.0,45.0,-1358.1435059811959,0.8638284964725682,0.8638284964725682,0.7678475524200608,0.7678475524200608,1773320236.1425703
1400,44,-1062.5173998956257,44.02310896217874,-1028.1875929541868,-1895.0,73.0,-1822.429004443761,0.8612396016048114,0.8612396016048114,0.7655463125376102,0.7655463125376102,1773320236.1572409
1500,46,-1065.4344534058023,47.0358558383663,-1029.6774094143047,-1280.0,110.0,-1201.709409952664,0.8595179836412034,0.8595179836412034,0.7640159854588475,0.7640159854588475,1773320236.172041
1600,49,-1085.1643644887995,46.961866899419306,-1050.2881578869744,-845.0,28.0,-831.4167713636657,0.8569420073847126,0.8569420073847126,0.7617262287864114,0.7617262287864114,1773320236.190683
1700,51,-1122.6108389511414,47.23558487672592,-1087.4737083250077,-1725.0,60.0,-1674.622160608016,0.8552289803119505,0.8552289803119505,0.7602035380550674,0.7602035380550674,1773320236.2052171
1800,55,-1077.092575893448,46.85362285449873,-1043.4932718680038,-675.0,18.0,-668.243307626673,0.8518131923445238,0.8518131923445238,0.7571672820840214,0.7571672820840214,1773320236.2208133
1900,61,-977.1156126791657,42.190946378619174,-949.1337625517685,-770.0,25.0,-759.0839858805014,0.8467150733648501,0.8467150733648501,0.7526356207687559,0.7526356207687559,1773320236.2345772
2000,62,-1001.7598320452073,46.88139905968822,-971.1160499493255,-1470.0,136.0,-1388.779510502908,0.8458683582914852,0.8458683582914852,0.7518829851479871,0.7518829851479871,1773320236.2484987
2100,64,-995.5382484207995,45.345462651368614,-966.0534670340926,-670.0,17.0,-663.6362373015012,0.8441774674432605,0.8441774674432605,0.7503799710606763,0.7503799710606763,1773320236.268155
2200,66,-1090.7607691997714,52.65178004286017,-1053.4653360973753,-2625.0,131.0,-2477.9837960154896,0.8424899566858415,0.8424899566858415,0.7488799614985261,0.7488799614985261,1773320236.2837532
2300,69,-1023.4503894926537,49.82906991424723,-989.7041223646049,-700.0,26.0,-689.6023015659883,0.8399650134431641,0.8399650134431641,0.746635567505035,0.746635567505035,1773320236.2991652
2400,72,-1058.6964026912638,51.76694881772771,-1024.3555041701225,-1070.0,63.0,-1039.210845472319,0.8374476374579098,0.8374476374579098,0.744397899962587,0.744397899962587,1773320236.314036
2500,74,-1028.1735034288654,50.95217130799925,-995.382171551399,-675.0,21.0,-667.2341117256566,0.8357735796306315,0.8357735796306315,0.7429098485605617,0.7429098485605617,1773320236.3313966
2600,77,-1026.4890075023234,53.360992875195855,-992.8766550177328,-1050.0,77.0,-1009.2284557071056,0.8332687653767049,0.8332687653767049,0.740683347001516,0.740683347001516,1773320236.3489218
2700,79,-1036.8688292708466,54.20329606986426,-1002.5200839110184,-675.0,24.0,-665.1126346823413,0.8316030611147168,0.8316030611147168,0.7392027209908599,0.7392027209908599,1773320236.3629053
2800,81,-1022.536618416939,54.82597470305249,-988.7509754144735,-1170.0,83.0,-1125.2326004711958,0.8299406865955485,0.8299406865955485,0.7377250547515992,0.7377250547515992,1773320236.3770554
2900,82,-1060.1597874960921,56.034675967899865,-1024.3280906230173,-1775.0,79.0,-1700.2932795853526,0.829110745908953,0.829110745908953,0.7369873296968477,0.7369873296968477,1773320236.3906164
3000,85,-1047.9557478044617,59.22548030797814,-1010.3170582739019,-890.0,67.0,-859.6860219192399,0.8266259001743531,0.8266259001743531,0.7347785779327589,0.7347785779327589,1773320236.4062202
3100,88,-1016.7023092738501,58.16357117905275,-980.4699049472989,-820.0,29.0,-806.3774730696955,0.8241485015249047,0.8241485015249047,0.7325764457999158,0.7325764457999158,1773320236.421131
3200,90,-1007.9863341196497,59.350122989095105,-971.6243492942573,-1300.0,102.0,-1237.7940049188853,0.8225010286703565,0.8225010286703565,0.7311120254847617,0.7311120254847617,1773320236.438331
3300,94,-989.9412315550427,55.40808361288664,-956.2141673917993,-550.0,17.0,-544.5822409602492,0.8192159562726655,0.8192159562726655,0.7281919611312586,0.7281919611312586,1773320236.4523451
3400,96,-976.1719614784259,54.12079546063019,-943.8848448010683,-895.0,50.0,-874.3263778311015,0.8175783435760765,0.8175783435760765,0.7267363054009572,0.7267363054009572,1773320236.4662483
