global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773310474.9641051
60,1,-77.75,4.7,-74.57939500184386,-1555.0,94.0,-1491.5879000368773,0.8991,0.8991,0.7992,0.7992,1773310474.9820738
90,2,-112.3625,5.5649999999999995,-108.90240117236814,-770.0,22.0,-761.0395184123294,0.8982009,0.8982009,0.7984008,0.7984008,1773310475.0108006
120,2,-112.3625,5.5649999999999995,-108.90240117236814,-770.0,22.0,-761.0395184123294,0.8982009,0.8982009,0.7984008,0.7984008,1773310475.029271
