global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275027.5334432
100,1,-195.0,7.2,-180.95367344141584,-3900.0,144.0,-3619.073468828317,0.8991,0.8991,0.7992,0.7992,1773275027.5476422
150,1,-195.0,7.2,-180.95367344141584,-3900.0,144.0,-3619.073468828317,0.8991,0.8991,0.7992,0.7992,1773275027.5801044
200,2,-367.75,14.54,-340.619960090153,-3650.0,154.0,-3374.2794064161585,0.8982009,0.8982009,0.7984008,0.7984008,1773275027.593745
