global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,2,-90.07499999999999,2.925,-88.56599312833467,-975.0,30.0,-958.4552193820302,0.8982009,0.8982009,0.7984008,0.7984008,1773321555.4237766
200,6,-308.15261921875,13.19030578125,-298.11808654988084,-1425.0,51.0,-1383.937896526622,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773321555.4415553
300,10,-452.3678905575419,17.109417748239252,-440.15891085047764,-1045.0,38.0,-1025.0990329546514,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773321555.457996
400,15,-490.3384317005121,18.716022242811704,-478.8434190707063,-550.0,14.0,-545.1498178161992,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773321555.47389
500,17,-656.7429346097122,26.11871007413756,-636.5750969492028,-2750.0,100.0,-2614.407331485262,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773321555.4890895
600,20,-757.0993485610019,29.16777904981368,-734.5327578072067,-1225.0,44.0,-1196.9502515203194,0.8821699783465812,0.8821699783465812,0.7841510918636277,0.7841510918636277,1773321555.5031104
700,23,-782.3255539724888,31.044224562834,-759.2040465681908,-425.0,13.0,-421.51639968270797,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773321555.5182517
800,29,-809.394691647637,30.101240117505704,-787.5046041694011,-425.0,10.0,-422.085203230596,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773321555.5372736
900,32,-794.1028987513928,31.439425745746455,-772.7181452507622,-1190.0,78.0,-1146.9224298080362,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773321555.5524995
1000,35,-912.4495978169753,36.30550264875937,-886.118252752284,-1485.0,74.0,-1436.6180844621592,0.8690296563332859,0.8690296563332859,0.7724708056295875,0.7724708056295875,1773321555.568394
